"subj_idx","dPrime_Bad","dPrime_Good","dPrime_Neutral","RT_Bad_Match","RT_Bad_Nonmatch","RT_Good_Match","RT_Good_Nonmatch","RT_Neutral_Match","RT_Neutral_Nonmatch","ACC_Bad_Match","ACC_Bad_Nonmatch","ACC_Good_Match","ACC_Good_Nonmatch","ACC_Neutral_Match","ACC_Neutral_Nonmatch"
"v010001",1.20529974544055,2.09806471886318,1.80638524311216,775.340425531915,793.282608695652,715.516666666667,816.730769230769,747.245614035088,786.28,0.723076923076923,0.73015873015873,0.895522388059702,0.8,0.838235294117647,0.793650793650794
"v010003",1.0159367577776,2.05107074903554,1.04337902356702,739.736842105263,728.333333333333,559.676470588235,748.652173913043,770.428571428571,690.421052631579,0.802816901408451,0.565217391304348,0.944444444444444,0.676470588235294,0.522388059701492,0.838235294117647
"v010004",2.40758651964074,4.11491640626559,1.98894443559082,649.16393442623,641.939393939394,531.845070422535,638.314285714286,670.448275862069,634.322580645161,0.847222222222222,0.916666666666667,0.986111111111111,0.972222222222222,0.816901408450704,0.861111111111111
"v010005",0.831800434806252,3.65040948995048,1.03873794292513,812.944444444444,779.395833333333,599.845070422535,695.174603174603,777.72,733.844444444444,0.5625,0.75,0.986111111111111,0.926470588235294,0.714285714285714,0.681818181818182
"v010006",0.583465391962851,1.33418033883509,1.40469172943718,799,835.891891891892,730.472727272727,849.1,755.102040816327,858.452380952381,0.510204081632653,0.711538461538462,0.901639344262295,0.517241379310345,0.753846153846154,0.763636363636364
"v010007",1.52263548756249,3.01321596166685,1.65060080997512,754.8,745.616666666667,610.898550724638,747.444444444444,786.25641025641,717.676923076923,0.538461538461538,0.923076923076923,0.958333333333333,0.9,0.573529411764706,0.928571428571429
"v010009",1.69660099692875,2.22350114591462,2.00673916487465,688.942307692308,738.049180327869,613.223880597015,721.37037037037,672.606557377049,741.254545454545,0.732394366197183,0.859154929577465,0.930555555555556,0.771428571428571,0.871428571428571,0.808823529411765
"v010011",2.44488660391225,2.99707732020417,1.4468911006788,762.490909090909,782.322033898305,692.328358208955,778.28,809.106382978723,817.12962962963,0.82089552238806,0.936507936507937,0.985294117647059,0.793650793650794,0.734375,0.794117647058823
"v010015",2.17373180918872,3.20412447077196,2.57089831423943,691.183333333333,727.603448275862,576.628571428571,706.234375,715.169230769231,686.852459016393,0.857142857142857,0.865671641791045,0.972222222222222,0.901408450704225,0.915492957746479,0.884057971014493
"v010017",2.30104238873793,2.17480482155381,1.66406922759085,681.90625,810.46,687.09375,778.80487804878,762.938775510204,798.892857142857,0.941176470588235,0.769230769230769,0.955223880597015,0.683333333333333,0.753846153846154,0.835820895522388
"v010019",0.954968681204083,3.40445754123674,1.42107606982854,853,744.576271186441,604.394366197183,740.274193548387,811.648648648649,723.933333333333,0.411764705882353,0.880597014925373,0.986111111111111,0.885714285714286,0.616666666666667,0.869565217391304
"v010021",1.64302945972282,2.48064461473011,2.55926774023242,726.542372881356,790.938775510204,599.869565217391,790.291666666667,736.169230769231,790.754385964912,0.855072463768116,0.720588235294118,0.971830985915493,0.716417910447761,0.942028985507246,0.838235294117647
"v010023",2.61803083157301,1.91909999757662,0.936984218055986,708.169230769231,758.186440677966,726.612903225806,803.333333333333,802.204545454545,791.957446808511,0.955882352941177,0.819444444444444,0.885714285714286,0.76271186440678,0.647058823529412,0.712121212121212
"v010025_NA",1.00134441905603,1.84954456647954,1.67795960047,706.375,671.98275862069,610.015625,695.6,683.440677966102,689.714285714286,0.555555555555556,0.805555555555556,0.888888888888889,0.735294117647059,0.819444444444444,0.777777777777778
"v010027",0.855834109197249,2.33504948941739,1.55416348617805,756.135135135135,737.326530612245,658.734375,765.509090909091,683.6,743.977272727273,0.552238805970149,0.765625,0.914285714285714,0.833333333333333,0.833333333333333,0.721311475409836
"v010029_NA",2.30827242476524,3.31824229458909,2.20135861751152,767.068965517241,755.777777777778,626.69014084507,747.185185185185,753.596153846154,758.047619047619,0.828571428571429,0.91304347826087,1,0.805970149253731,0.8,0.91304347826087
"v010031",2.75625678866234,3.93277568972412,3.28573548928679,642.491803278689,654.492753623188,591.736111111111,630.909090909091,626.741935483871,635.211267605634,0.847222222222222,0.958333333333333,1,0.929577464788732,0.861111111111111,0.986111111111111
"v010033",0.427652130910077,1.55089003175235,0.583799625033768,631.042553191489,694.72972972973,579.707692307692,673.904761904762,629.452380952381,646.977272727273,0.652777777777778,0.513888888888889,0.902777777777778,0.6,0.591549295774648,0.63768115942029
"v010035",1.6652592824592,2.72672362655547,0.697401631034364,712.72131147541,729.313725490196,625,703.175438596491,707.35,722.857142857143,0.847222222222222,0.739130434782609,0.972222222222222,0.791666666666667,0.579710144927536,0.690140845070423
"v010037",2.14286127690361,2.26056779977929,2.23076937160574,670.338709677419,745.315789473684,681.967741935484,760.421052631579,658.28125,730.12962962963,0.885714285714286,0.826086956521739,0.898550724637681,0.838235294117647,0.914285714285714,0.805970149253731
